Accession,Country,Region,Body_of_Water,Larva_or_Adult
D63743_1_Luidia_quinalia,Japan,?,North_Pacific_Ocean,larva
DSPEC019_07_Luidia_foliolata,Canada,British_Columbia,Howe_Sound/Sunshine_Coast,adult
EU072952_1_Luidia_foliolata_voucher_CASIZ_105625,USA,California,Monterey_Bay,?
FWRI_I_00013_Luidia_ludwigi_scotti,USA,Florida,Gulf_of_Mexico,adult
FWRI_I_00014_Luidia_ludwigi_scotti,USA,Florida,Gulf_of_Mexico,adult
FWRI_I_00015_Luidia_sagamina_aciculata,USA,Florida,Gulf_of_Mexico,adult
FWRI_I_00019_Luidia_senegalensis,USA,Florida,Gulf_of_Mexico,adult
FWRI_I_00023_Luidia_lawrencei,USA,Florida,Gulf_of_Mexico,adult
FWRI_I_00026_Luidia_lawrencei,USA*,Florida,Gulf_of_Mexico,adult
FWRI_I_00028_Luidia_lawrencei,USA,Florida,Gulf_of_Mexico,adult
FWRI_I_00031_Luidia_clathrata,USA,Florida,Gulf_of_Mexico,adult
FWRI_I_00035_Luidia_alternata,USA,Florida,Gulf_of_Mexico,adult
FWRI_I_00036_Luidia_alternata,USA,Florida,Gulf_of_Mexico,adult
Luidia_avicularia_IE-2013-6763,Tonga,Ohonua,South_Pacific_Ocean,adult
Luidia_avicularia_IE-2013-6766,Australia,Eastern_Australia,Coral_Sea,adult
Luidia_avicularia_IE-2013-6767,Australia,Eastern_Australia,Coral_Sea,adult
Luidia_barbadensis_153,USA,Florida,Gulf_of_Mexico,adult
Luidia_barbadensis_481,USA,Florida,Gulf_of_Mexico,adult
Luidia_ludwigi_scotti_IE-2013-6486,Brazil,Rio_de_Janeiro,South_Atlantic_Ocean,adult
Luidia_maculata_CAS202422,Philippines,Batangas,Balayan_Bay,adult
Luidia_maculata_IE-2007-1023,Madagascar,Mahajamba_Bay_coast,Mozambique_Channel,adult
Luidia_magellanica_IE-2013-17320,Chile,Papudo,Southeast_Pacific_Ocean,adult
Luidia_magnifica_16S_Karen_RC,Mexico,Colima,Club_de_Yates,adult
Luidia_magnifica_IE-2013-1757,French_Polynesian,Austral_Islands:_Northeast_Rapa_Bench,South_Pacific_Ocean,adult
Luidia_magnifica_IE-2013-1762,French_Polynesian,Austral_Islands:_Neilson_Reef,South_Pacific_Ocean,adult
Luidia_neozelanica_USNM1411198,New_Zealand,North_Island,Hauraki_Gulf,adult
Luidia_savignyi_USNM40467,Japan,Okinawa:_Onna,East_China_Sea,adult
Luidia_savignyi_USNM53668,Japan,Okinawa:_Onna,East_China_Sea,adult
Luidia_sibogae_CAS184021,Philippines,Batangas,Verde_Island_Passage,adult
MN730793_1_Asteroidea_sp_RCMBAR1006,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730794_1_Asteroidea_sp_RCMBAR2228,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730800_1_Asteroidea_sp_RCMBAR2027,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730810_1_Asteroidea_sp_RCMBAR825,Panama,Panama,Panama_Bay,larva
MN730811_1_Asteroidea_sp_RCMBAR224,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730812_1_Asteroidea_sp_RCMBAR2353,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730816_1_Asteroidea_sp_RCMBAR2024,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730828_1_Asteroidea_sp_RCMBAR088,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730832_1_Asteroidea_sp_RCMBAR687,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730855_1_Asteroidea_sp_RCMBAR2355,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730861_1_Asteroidea_sp_RCMBAR1003,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730869_1_Asteroidea_sp_RCMBAR1265,Panama,Bocas_Del_Toro,Almirante_Bay,larva*
MN730878_1_Asteroidea_sp_RCMBAR574,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730880_1_Asteroidea_sp_RCMBAR086,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730883_1_Asteroidea_sp_RCMBAR1302,Panama,Panama,Panama_Bay,larva
MN730889_1_Asteroidea_sp_RCMBAR2352,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730899_1_Asteroidea_sp_RCMB0268,Panama,Panama,Panama_Bay,larva
MN730913_1_Asteroidea_sp_RCMBAR092,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MN730916_1_Asteroidea_sp_RCMBAR2351,Panama,Bocas_Del_Toro,Almirante_Bay,larva
MT396682_1_Luidia_hardwicki_voucher_G4,Iran,Persian_Gulf_Northern_Islands,Persian_Gulf,adult
MT396683_1_Luidia_hardwicki_voucher_C6,Iran,Persian_Gulf_Northern_Islands,Persian_Gulf,adult
MT444494_1_Luidia_maculata_voucher_SS_0354,Singapore,?,?,?
EU722960_Dipsacaster_borealis_voucher_CASIZ_143420,USA,Alaska:_Aleutian_Islands,Bering_Sea,?
UF_17286_Luidia_magnifica_12S-16S,Thailand,Ko_Man_Klang,Gulf_of_Thailand,adult
UF_17309_Luidia_magnifica_12S-16S,Thailand,Chon_Buri,Gulf_of_Thailand,adult
